topic_id,year,rank,word_phi,phi,word_relevance,relevance
2,2003,5,shirt,0.008596542065101903,sand,9.453844593991105
2,2003,6,pant,0.00853214849158054,catwalk,9.413022599470851
2,2003,7,white,0.008177983837213047,setting,9.32601122248122
2,2003,8,short,0.008016999903409639,wedding,9.279491206846327
2,2003,9,silk,0.006632538072700344,poplin,9.279491206846327
2,2003,10,suit,0.0059242087639653565,scuba,9.179407748289346
2,2003,11,denim,0.005344666602273093,ware,9.179407748289346
2,2003,12,high,0.004990501947905599,herringbone,9.068182113179123
2,2003,13,coat,0.004571943720016743,gypsy,9.068182113179123
2,2003,14,floral,0.00450755014649538,slit,9.007557491362686
2,2003,15,blue,0.00450755014649538,intarsia,8.943018970225115
2,2003,16,lace,0.004217779065649248,ikat,8.943018970225115
2,2003,17,jean,0.004185582278888567,maxi,8.874026098738163
2,2003,18,sexy,0.003895811198042435,textile,8.79991812658444
2,2003,19,pink,0.0037670240509997104,caftan,8.79991812658444
2,2003,20,pair,0.0037670240509997104,excess,8.79991812658444
3,2003,1,coat,0.027762782447751985,herringbone,9.94166306606446
3,2003,2,jacket,0.019331122593249532,womenswear,9.64742359306652
3,2003,3,leather,0.01889411583249788,price,9.506344994806614
3,2003,4,fur,0.017531682990154496,lineup,9.411034815002289
3,2003,5,skirt,0.01167065114007352,blanket,9.228713258208334
3,2003,6,sweater,0.008097478213927662,sumptuous,9.145331649269284
3,2003,7,pant,0.0078147091334413,preview,9.054359871063557
3,2003,8,fall,0.007686177733220226,stylist,9.005569706894125
3,2003,9,wool,0.007660471453176011,weather,9.005569706894125
3,2003,10,high,0.006349451170921056,catwalk,9.005569706894125
3,2003,11,tweed,0.006040975810390478,maxi,8.954276412506573
3,2003,12,boot,0.005449731369373538,photograph,8.954276412506573
3,2003,13,collar,0.00519266856893139,potential,8.84305077739635
3,2003,14,silk,0.00519266856893139,alpaca,8.84305077739635
3,2003,15,shoulder,0.004987018328577671,architectural,8.717887634442345
3,2003,16,cashmere,0.004987018328577671,convincing,8.717887634442345
3,2003,17,print,0.004678542968047094,horizontal,8.717887634442345
3,2003,18,shearling,0.004575717847870235,golden,8.717887634442345
